,date,time,race_name,horse_name,sp,pos,fin_time,pred,kelly,bankroll,stake,returns
260715,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Lethal Steps,10/1,1,3:48.80,0.0,-0.1,100.0,-0.0,0.0
260724,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,City Ballerina,20/1,10,3:57.55,0.0,-0.05,100.0,-0.0,0.0
260725,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Acrux Cass,100/1,11,3:58.10,0.0,-0.01,100.0,-0.0,0.0
260726,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Little Saint,100/1,12,4:2.70,0.0,-0.01,100.0,-0.0,0.0
260727,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Herdwick,100/1,13,4:8.30,0.0,-0.01,100.0,-0.0,0.0
260716,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Morosini,3/1,2,3:49.20,0.47619047619047616,0.3015873015873015,100.0,15.079365079365076,0.0
260717,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Winner Takes Itall,7/1,3,3:49.20,0.07692307692307693,-0.05494505494505494,100.0,-0.0,0.0
260718,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Ashqar,25/1,4,3:49.30,0.24324324324324326,0.212972972972973,100.0,10.64864864864865,0.0
260719,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Authorized Art,11/8F,5,3:50.10,0.24324324324324326,-0.30513121817469646,100.0,-0.0,0.0
260720,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Flindt,16/1,6,3:52.50,0.0,-0.0625,100.0,-0.0,0.0
260721,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Stealth,100/1,7,3:57.10,0.0,-0.01,100.0,-0.0,0.0
260722,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Rasiym,12/1,8,3:57.45,0.0,-0.08333333333333333,100.0,-0.0,0.0
260723,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Indian Admiral,50/1,9,3:57.50,0.0,-0.02,100.0,-0.0,0.0
260728,2019-07-29,5:20,Galwaybayhotel.com & Galmont.com Novice Hurdle,Rip Rocks Paddy Ok,11/1,UR,,0.24324324324324326,0.17444717444717447,100.0,8.722358722358724,0.0
254646,2019-07-29,5:55,Easyfix Handicap Hurdle,Linger,9/4F,1,3:47.90,0.24324324324324326,-0.09309309309309308,65.54962754962756,-0.0,0.0
254655,2019-07-29,5:55,Easyfix Handicap Hurdle,Castlehume,14/1,10,3:50.70,0.0,-0.07142857142857142,65.54962754962756,-0.0,0.0
254656,2019-07-29,5:55,Easyfix Handicap Hurdle,Sticky Situation,25/1,11,3:50.95,0.0,-0.04,65.54962754962756,-0.0,0.0
254657,2019-07-29,5:55,Easyfix Handicap Hurdle,Dumhach Thra,8/1,12,3:51.30,0.0,-0.125,65.54962754962756,-0.0,0.0
254658,2019-07-29,5:55,Easyfix Handicap Hurdle,Act In Time,40/1,13,3:52.25,0.0,-0.025,65.54962754962756,-0.0,0.0
254659,2019-07-29,5:55,Easyfix Handicap Hurdle,Al Sakb,14/1,14,3:52.85,0.0,-0.07142857142857142,65.54962754962756,-0.0,0.0
254660,2019-07-29,5:55,Easyfix Handicap Hurdle,Water Sprite,33/1,15,3:53.20,0.0,-0.030303030303030304,65.54962754962756,-0.0,0.0
254661,2019-07-29,5:55,Easyfix Handicap Hurdle,Colour Me In,66/1,16,3:54.30,0.0,-0.015151515151515152,65.54962754962756,-0.0,0.0
254662,2019-07-29,5:55,Easyfix Handicap Hurdle,Monkeylou,14/1,17,3:54.75,0.0,-0.07142857142857142,65.54962754962756,-0.0,0.0
